epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5145,1.9361,3.70966,1.64434,0.01077,0.53769,0.3145,0.18829,1.25444,3.20342,1.16752,0.00021704,0.00021704,0.00021704
2,8.1401,1.47401,2.05778,1.3104,0.76635,0.29733,0.48531,0.28813,1.41843,2.17376,1.2539,0.000435023,0.000435023,0.000435023
3,11.8696,1.36577,1.57428,1.26755,0.54746,0.57775,0.68018,0.34739,1.39789,1.53585,1.42946,0.000648605,0.000648605,0.000648605
4,15.3716,1.36539,1.40711,1.2495,0.69098,0.78256,0.84198,0.47797,1.14478,1.26443,1.20613,0.00064719,0.00064719,0.00064719
5,18.8534,1.32202,1.29708,1.23869,0.8496,0.8208,0.89398,0.53877,1.11219,1.40003,1.21324,0.000640587,0.000640587,0.000640587
6,22.3323,1.29442,1.18769,1.21111,0.8648,0.92516,0.95738,0.59445,1.11681,1.01521,1.25214,0.000633983,0.000633983,0.000633983
7,25.8639,1.34463,1.15042,1.21392,0.92375,0.93866,0.9795,0.59758,1.05173,0.83328,1.19708,0.00062738,0.00062738,0.00062738
8,29.3702,1.22298,1.05003,1.16172,0.87499,0.94898,0.97403,0.59245,1.07572,0.76378,1.18795,0.000620777,0.000620777,0.000620777
9,32.8819,1.21482,1.00379,1.16435,0.88586,0.95435,0.97627,0.61164,1.03631,0.64253,1.12319,0.000614174,0.000614174,0.000614174
10,36.3647,1.22738,1.00178,1.17124,0.89909,0.98102,0.98628,0.62415,1.10564,0.66723,1.21527,0.00060757,0.00060757,0.00060757
11,39.9339,1.21125,0.96196,1.15781,0.93587,0.98463,0.98693,0.65226,0.95962,0.63665,1.11815,0.000600967,0.000600967,0.000600967
12,43.4972,1.18992,0.95861,1.15831,0.93535,0.9657,0.98301,0.60175,1.07062,0.66865,1.13426,0.000594364,0.000594364,0.000594364
13,46.9966,1.14423,0.91256,1.1392,0.92535,0.96493,0.9872,0.57214,1.09529,0.66359,1.17344,0.00058776,0.00058776,0.00058776
14,50.4798,1.14851,0.89942,1.15093,0.94814,0.98652,0.99174,0.67262,0.92941,0.59239,1.12701,0.000581157,0.000581157,0.000581157
15,54.0022,1.14002,0.88657,1.16258,0.95536,0.98517,0.98854,0.64179,0.99328,0.62172,1.13557,0.000574554,0.000574554,0.000574554
16,57.5379,1.16704,0.85493,1.13884,0.9553,0.98318,0.99163,0.6657,0.9951,0.62294,1.10182,0.00056795,0.00056795,0.00056795
17,61.1654,1.0978,0.86895,1.14871,0.97099,0.96245,0.98877,0.70277,0.89899,0.58389,1.06845,0.000561347,0.000561347,0.000561347
18,64.7004,1.08156,0.80996,1.10726,0.94212,0.99476,0.99241,0.64391,1.00758,0.58961,1.22002,0.000554744,0.000554744,0.000554744
19,68.2246,1.12907,0.80645,1.13032,0.95689,0.9845,0.98426,0.67448,0.86995,0.56261,1.11128,0.000548141,0.000548141,0.000548141
20,71.7278,1.11184,0.82453,1.13843,0.95261,0.9822,0.98919,0.6319,0.9321,0.56273,1.06645,0.000541537,0.000541537,0.000541537
21,75.2828,1.09165,0.78815,1.10819,0.95149,0.99456,0.99126,0.68434,0.92612,0.55242,1.17123,0.000534934,0.000534934,0.000534934
22,78.8181,1.09762,0.78287,1.11866,0.94857,0.9676,0.98975,0.67602,0.92621,0.55817,1.15665,0.000528331,0.000528331,0.000528331
